group,movie_imdb_link,Cast FB Likes,name,Actor 1 FB Likes,Number of Voted Users,Director FB Likes,Number of Critic for Reviews,Number of Users for Reviews,Budget,Domestic Gross,Imdb Score
Family,http://www.imdb.com/title/tt0453494/?ref_=fn_tt_tt_1,10732,"Hoot, director: Wil Shriner",8000,6562,6,49,66,21211331.4,11479059.24,5.6
Comedy Drama,http://www.imdb.com/title/tt0100405/?ref_=fn_tt_tt_1,11135,"PrettyWoman, director: Garry Marshall",8000,213476,0,82,271,32770258.15,417601389.8,6.9
Comedy Drama,http://www.imdb.com/title/tt0167427/?ref_=fn_tt_tt_1,10792,"Superstar, director: Bruce McCulloch",8000,15047,54,43,160,24680990.62,53996685.19,5
Thriller Drama,http://www.imdb.com/title/tt0289879/?ref_=fn_tt_tt_1,12755,"TheButterflyEffect, director: Eric Bress",8000,357579,19,185,1100,19578500.08,87236794.78,7.7
Drama,http://www.imdb.com/title/tt1659337/?ref_=fn_tt_tt_1,13631,"ThePerksofBeingaWallflower, director: Stephen Chbosky",8000,351274,139,364,457,15217448.43,20769415.1,8
Drama,http://www.imdb.com/title/tt2582846/?ref_=fn_tt_tt_1,10565,"TheFaultinOurStars, director: Josh Boone",8000,249688,131,326,548,13189257.22,137247795.3,7.8
Comedy Drama,http://www.imdb.com/title/tt0213790/?ref_=fn_tt_tt_1,10982,"TheLadiesMan, director: Reginald Hudlin",8000,10777,71,58,79,18790898.17,23220206.69,5.1
Drama,http://www.imdb.com/title/tt0449999/?ref_=fn_tt_tt_1,10822,"KabhiAlvidaNaaKehna, director: Karan Johar",8000,13998,160,20,264,15201454.17,4631767.13,6
Drama,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,13762,"JabTakHaiJaan, director: Yash Chopra",8000,42296,147,50,286,10769271.2,3567366.737,6.9
Comedy Drama,http://www.imdb.com/title/tt0373445/?ref_=fn_tt_tt_1,9608,"TheWendellBakerStory, director: Andrew Wilson",8000,5159,387,32,27,10961928.37,174278.2182,5.5
Drama,http://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1,9984,"VeerZaara, director: Yash Chopra",8000,34449,147,29,119,10542269.27,4425542.23,7.9
Comedy Drama,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,10430,"MysticPizza, director: Donald Petrie",8000,18286,80,34,73,14957619.18,31892668.02,6.2
Comedy Drama,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,10123,"CasademiPadre, director: Matt Piedmont",8000,17169,4,133,70,7023437.739,6917480.986,5.5
Comedy Drama,http://www.imdb.com/title/tt1531663/?ref_=fn_tt_tt_1,10517,"EverythingMustGo, director: Dan Rush",8000,40305,7,155,86,6040156.455,3276339.113,6.4
Comedy Drama,http://www.imdb.com/title/tt1714206/?ref_=fn_tt_tt_1,10040,"TheSpectacularNow, director: James Ponsoldt",8000,105591,53,220,178,2835690.301,7773161.36,7.1
Comedy Drama,http://www.imdb.com/title/tt0290212/?ref_=fn_tt_tt_1,11327,"FullFrontal, director: Steven Soderbergh",8000,8662,0,108,172,3207934.225,4030522.343,4.7
Mixed,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1,11905,"DespicableMe, director: Pierre Coffin",7000,286877,275,306,284,86204985.16,417487777,7.5
Mixed,http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1,13616,"Minions, director: Kyle Balda",7000,142403,22,308,275,78811776,357896810.1,6.4
Animation,http://www.imdb.com/title/tt1323594/?ref_=fn_tt_tt_1,11608,"DespicableMe, director: Pierre Coffin",7000,385943,275,304,296,86204985.16,417487777,7.7
Comedy Drama,http://www.imdb.com/title/tt0427152/?ref_=fn_tt_tt_1,10419,"DinnerforSchmucks, director: Jay Roach",7000,80338,116,190,264,86021492.17,91041079.37,5.9
Comedy Drama,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1,13626,"Sleepover, director: Joe Nussbaum",7000,12706,18,52,75,15060384.67,14169085.51,5.3
Drama,http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1,7747,"SeekingaFriendfortheEndoftheWorld, director: Lorene Scafaria",7000,87203,63,265,221,11705729.56,8286179.268,6.7
Comedy Drama,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,7227,"LittleMissSunshine, director: Jonathan Dayton",7000,355810,36,270,889,11312710.08,84691328.49,7.9
Drama,http://www.imdb.com/title/tt1658801/?ref_=fn_tt_tt_1,9660,"Freeheld, director: Peter Sollett",7000,5863,6,133,25,7455168,581717.1738,6.5
Comedy Drama,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,8375,"TheWayWayBack, director: Nat Faxon",7000,115813,214,276,216,5671380.603,24389987.8,7.4
Drama,http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1,7098,"IOrigins, director: Mike Cahill",7000,75633,135,140,160,1099104.768,369817.9795,7.3
Drama,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,7123,"KingKong, director: Peter Jackson",6000,316018,0,446,2618,302083297.2,318252816.5,7.2
Drama,http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1,10583,"RiseofanEmpire, director: Noam Murro",6000,225273,263,366,523,120901524.5,117142642.2,6.2
Adventure Action,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,9125,"CasinoRoyale, director: Martin Campbell",6000,470483,258,400,2301,144237053.5,236668965.3,8
Horror,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,10163,"TheRingTwo, director: Hideo Nakata",6000,71153,62,196,560,72966980.01,110824769.5,5.4
Thriller Drama,http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1,7654,"TheInternational, director: Tom Tykwer",6000,80196,670,245,190,64329115.89,32744198.01,6.5
Thriller Drama,http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1,8018,"DreamHouse, director: Jim Sheridan",6000,46239,260,174,137,60401564.55,25733893.29,6
Thriller Drama,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,10191,"FairGame, director: Doug Liman",6000,38513,218,214,127,99982351.03,22990935.62,6.8
Comedy Family,http://www.imdb.com/title/tt0063829/?ref_=fn_tt_tt_1,7493,"YoursMineandOurs, director: Melville Shavelson",6000,5888,5,8,61,65670282.01,77870239.94,7.2
Thriller Drama,http://www.imdb.com/title/tt1649419/?ref_=fn_tt_tt_1,7099,"TheImpossible, director: J.A. Bayona",6000,145270,171,371,322,46822918.26,22264159.5,7.6
Comedy,http://www.imdb.com/title/tt0114614/?ref_=fn_tt_tt_1,9662,"TankGirl, director: Rachel Talalay",6000,24790,54,60,173,49991175.52,8127231.374,5.2
Comedy Drama,http://www.imdb.com/title/tt0356721/?ref_=fn_tt_tt_1,8094,"IHeartHuckabees, director: David O. Russell",6000,56813,737,183,381,33132846.28,19254269.57,6.7
Horror,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,9049,"TheConjuring, director: James Wan",6000,300110,0,511,807,22685522.41,155849698.9,7.5
Drama,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,7567,"Grams, director: Alejandro G. Iíë±íëírritu",6000,189683,0,192,559,31084633.97,25254246.15,7.7
Thriller Drama,http://www.imdb.com/title/tt0166924/?ref_=fn_tt_tt_1,8484,"MulhollandDrive, director: David Lynch",6000,235992,0,252,1768,24829410.9,11950524.58,8
Horror,http://www.imdb.com/title/tt0808279/?ref_=fn_tt_tt_1,6748,"FunnyGames, director: Michael Haneke",6000,69569,0,250,436,19916294.28,1718962.082,6.5
Drama,http://www.imdb.com/title/tt1216520/?ref_=fn_tt_tt_1,9244,"Womb, director: Benedek Fliegauf",6000,9957,28,88,35,15217448.43,0,6.4
Comedy Drama,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,6322,"WhileWereYoung, director: Noah Baumbach",6000,30325,387,270,96,10650240,8075081.195,6.3
Drama,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,8876,"MotherandChild, director: Rodrigo Garcíë_a",6000,9727,127,161,65,8726818.046,1384458.569,7.2
Adventure Fantasy,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,9152,"TheHobbitTheBattleoftheFiveArmies, director: Peter Jackson",5000,354228,0,422,802,274776192,280403375.4,7.5
Adventure Fantasy,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,9152,"TheHobbitTheDesolationofSmaug, director: Peter Jackson",5000,483540,0,509,951,283569030.1,293059354,7.9
Action,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,9131,"TheMummyTomboftheDragonEmperor, director: Rob Cohen",5000,117927,357,264,501,232356766.6,136083758.1,5.2
Adventure Fantasy,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,9152,"TheHobbitAnUnexpectedJourney, director: Peter Jackson",5000,637246,0,645,1367,292643239.1,354687782.4,7.9
Action,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1,6171,"LethalWeapon, director: Richard Donner",5000,127497,503,141,287,254707823.2,237323292,6.6
Comedy,http://www.imdb.com/title/tt3949660/?ref_=fn_tt_tt_1,8306,"TeenageMutantNinjaTurtlesOutoftheShadows, director: Dave Green",5000,17533,13,181,115,139320000,84677252.23,6.3
Adventure Action,http://www.imdb.com/title/tt0167260/?ref_=fn_tt_tt_1,6434,"TheLordoftheRingsTheReturnoftheKing, director: Peter Jackson",5000,1215718,0,328,3189,146097779.6,587260082.6,8.9
Drama,http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1,5103,"EnemyattheGates, director: Jean-Jacques Annaud",5000,188887,218,187,662,140699995.1,85076786.3,7.6
Action,http://www.imdb.com/title/tt1496025/?ref_=fn_tt_tt_1,5861,"UnderworldAwakening, director: MíëÇns MíëÇrlind",5000,117096,24,242,271,81940106.95,72951322.87,6.4
Horror,http://www.imdb.com/title/tt1538403/?ref_=fn_tt_tt_1,10247,"TheMortalInstrumentsCityofBones, director: Harald Zwart",5000,107028,91,212,457,68056567.23,35350192.83,6
Comedy Drama,http://www.imdb.com/title/tt0252076/?ref_=fn_tt_tt_1,7184,"MaidinManhattan, director: Wayne Wang",5000,68417,61,114,242,88218191.2,150665276,5.1
Adventure Action,http://www.imdb.com/title/tt0865556/?ref_=fn_tt_tt_1,7247,"TheForbiddenKingdom, director: Rob Minkoff",5000,88049,50,206,279,73026412.35,69143093.46,6.6
Comedy Drama,http://www.imdb.com/title/tt0368709/?ref_=fn_tt_tt_1,12700,"Elizabethtown, director: Cameron Crowe",5000,58658,488,190,495,78804338.41,39183889.94,6.4
Drama,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,5405,"AcrosstheUniverse, director: Julie Taymor",5000,91860,278,156,524,61660847.09,33356699.96,7.4
Mixed,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,7723,"SuperMarioBros, director: Annabel Jankel",5000,38203,5,36,290,89446226.88,44392816.21,4
Adventure Action,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,6229,"Hero, director: Yimou Zhang",5000,149414,611,283,841,92308506.14,42829329.25,7.9
Drama,http://www.imdb.com/title/tt0913968/?ref_=fn_tt_tt_1,6267,"TheWarlords, director: Peter Ho-Sun Chan",5000,22897,31,106,61,49867531.69,160920.0314,7.1
Action,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,9082,"RomeoMustDie, director: Andrzej Bartkowiak",5000,57040,43,70,365,42706586.75,95617205.19,6.1
Thriller Drama,http://www.imdb.com/title/tt0271027/?ref_=fn_tt_tt_1,7945,"KissoftheDragon, director: Chris Nahon",5000,53126,20,116,254,41382351.51,60970229.07,6.6
Thriller Drama,http://www.imdb.com/title/tt0306685/?ref_=fn_tt_tt_1,6867,"CradletheGrave, director: Andrzej Bartkowiak",5000,34942,43,109,185,38855792.46,53866144.11,5.8
Comedy Drama,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,5637,"MrsHendersonPresents, director: Stephen Frears",5000,13505,350,137,180,29186792,16105805.95,7.1
Thriller Drama,http://www.imdb.com/title/tt2249221/?ref_=fn_tt_tt_1,5273,"Zulu, director: Jíë©ríëme Salle",5000,12817,22,69,43,18148417.93,0,6.7
Thriller Drama,http://www.imdb.com/title/tt0165773/?ref_=fn_tt_tt_1,5426,"FeliciasJourney, director: Atom Egoyan",5000,6690,460,95,83,26443918.52,1453172.654,7
Drama,http://www.imdb.com/title/tt0253200/?ref_=fn_tt_tt_1,7166,"LastOrders, director: Fred Schepisi",5000,5016,40,61,99,19247605.35,3731480.319,7
Thriller Drama,http://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,7637,"FiftyDeadMenWalking, director: Kari Skogland",5000,9585,13,76,38,12865823.18,0,6.9
Comedy Drama,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,7692,"MadeinDagenham, director: Nigel Cole",5000,11158,13,163,73,9973506.339,1365583.708,7.2
Comedy Drama,http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1,7206,"OutsideBet, director: Sacha Bennett",5000,243,22,4,3,7987680,0,4.8
Comedy Drama,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,6111,"ARoomforRomeoBrass, director: Shane Meadows",5000,4471,222,29,47,8968383.218,34330.97096,7.7
Comedy Drama,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,5535,"TwentyFourSeven, director: Shane Meadows",5000,2081,222,44,21,3638683.188,131982.3166,7.1
Animation,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,4628,"ShrekForeverAfter, director: Mike Mitchell",4000,138661,31,226,173,205703568.2,297630357.3,6.4
Mixed,http://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1,5046,"PussinBoots, director: Chris Miller",4000,114287,50,246,137,157044067.8,180311359.3,6.7
Animation,http://www.imdb.com/title/tt0400717/?ref_=fn_tt_tt_1,6081,"OpenSeason, director: Roger Allers",4000,65270,28,107,100,120197544.6,120346390.2,6.2
Comedy,http://www.imdb.com/title/tt0267913/?ref_=fn_tt_tt_1,6355,"ScoobyDoo, director: Raja Gosnell",4000,71424,67,138,521,134733237.5,245878797.6,4.9
Comedy Drama,http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1,9913,"FourChristmases, director: Seth Gordon",4000,48500,91,141,124,106220236.2,159524259.3,5.6
Action,http://www.imdb.com/title/tt0978764/?ref_=fn_tt_tt_1,7067,"SuckerPunch, director: Zack Snyder",4000,197584,0,435,918,90602346.83,43963281.18,6.1
Drama,http://www.imdb.com/title/tt0277434/?ref_=fn_tt_tt_1,6181,"WeWereSoldiers, director: Randall Wallace",4000,103241,130,141,742,112277697.9,125302225.2,7.1
Comedy Drama,http://www.imdb.com/title/tt1078940/?ref_=fn_tt_tt_1,8172,"CouplesRetreat, director: Peter Billingsley",4000,83506,0,166,144,77194939.06,140502071.1,5.5
Drama,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1,9814,"AftertheSunset, director: Brett Ratner",4000,38298,420,117,147,85844192.64,42663256.5,6.3
Animation,http://www.imdb.com/title/tt1430626/?ref_=fn_tt_tt_1,6254,"ThePiratesBandofMisfits, director: Peter Lord",4000,36877,91,238,101,64381512.6,36347608.36,6.7
Animation,http://www.imdb.com/title/tt0118617/?ref_=fn_tt_tt_1,6017,"Anastasia, director: Don Bluth",4000,86347,383,78,191,99510707.83,109655935.3,7.1
Comedy Drama,http://www.imdb.com/title/tt0452594/?ref_=fn_tt_tt_1,8315,"TheBreakUp, director: Peyton Reed",4000,102167,235,183,483,73532615.51,167856966.9,5.8
Animation,http://www.imdb.com/title/tt0308353/?ref_=fn_tt_tt_1,6863,"HappilyNEverAfter, director: Paul Bolger",4000,8693,0,93,71,64401329.18,21716994.19,4.5
Comedy,http://www.imdb.com/title/tt1648179/?ref_=fn_tt_tt_1,6727,"HereComestheBoom, director: Frank Coraci",4000,74169,153,154,112,49164064.17,53015621.44,6.5
Mixed,http://www.imdb.com/title/tt0122718/?ref_=fn_tt_tt_1,8610,"SmallSoldiers, director: Joe Dante",4000,77415,287,100,139,72773663.76,100325450.8,6.1
Drama,http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1,7243,"MarieAntoinette, director: Sofia Coppola",4000,79892,0,260,619,56563550.39,22572350.82,6.4
Comedy,http://www.imdb.com/title/tt0437954/?ref_=fn_tt_tt_1,4900,"VirginTerritory, director: David Leland",4000,6691,2,21,28,50454612.17,0,4.8
Comedy Drama,http://www.imdb.com/title/tt2024432/?ref_=fn_tt_tt_1,5826,"IdentityThief, director: Seth Gordon",4000,97664,91,275,232,39699664.22,152567987.4,5.7
Comedy Drama,http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1,9330,"Wimbledon, director: Richard Loncraine",4000,51842,12,129,173,52711346.36,25395701.67,6.3
Comedy,http://www.imdb.com/title/tt0416496/?ref_=fn_tt_tt_1,5377,"Bandidas, director: Joachim Ríëí_nning",4000,28848,18,58,76,49493106.59,0,5.7
Drama,http://www.imdb.com/title/tt0116320/?ref_=fn_tt_tt_1,6152,"Fled, director: Kevin Hooks",4000,7073,114,36,29,58129273.86,33312346.42,5.3
Adventure Fantasy,http://www.imdb.com/title/tt0331632/?ref_=fn_tt_tt_1,7800,"ScoobyDooMonstersUnleashed, director: Raja Gosnell",4000,33180,67,94,149,37650961.68,126786431.2,4.9
Drama,http://www.imdb.com/title/tt1647668/?ref_=fn_tt_tt_1,6393,"MillionDollarArm, director: Craig Gillespie",4000,35833,44,151,96,27477619.2,40060125.52,7
Horror,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,5746,"TheGrudge, director: Takashi Shimizu",4000,38658,70,131,284,28281775.2,55352862.75,5
Thriller Drama,http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1,5671,"MidnightSpecial, director: Jeff Nichols",4000,31359,337,263,156,18576000,3831075.024,6.7
Horror,http://www.imdb.com/title/tt0133751/?ref_=fn_tt_tt_1,12170,"TheFaculty, director: Robert Rodriguez",4000,92074,0,154,502,27290123.91,73289121.44,6.4
Drama,http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1,6910,"nan, director: Mark Christopher",4000,27675,15,63,181,257316463.5,213716976.8,5.8
Drama,http://www.imdb.com/title/tt0120679/?ref_=fn_tt_tt_1,7072,"Frida, director: Julie Taymor",4000,61651,278,128,271,19247605.35,41518688.71,7.4
Drama,http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1,6223,"CruelIntentions, director: Roger Kumble",4000,149222,16,101,749,19392206.91,67396865.88,6.9
Horror,http://www.imdb.com/title/tt0391198/?ref_=fn_tt_tt_1,7461,"TheGrudge, director: Takashi Shimizu",4000,115050,70,203,911,28281775.2,55352862.75,5.9
Horror,http://www.imdb.com/title/tt3882082/?ref_=fn_tt_tt_1,4687,"TheBoy, director: William Brent Bell",4000,35654,19,159,155,10320000,36965781.79,6
Comedy,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,6388,"DropDeadGorgeous, director: Michael Patrick Jann",4000,27265,31,77,321,17629279.01,18636630.12,6.5
Comedy,http://www.imdb.com/title/tt0124198/?ref_=fn_tt_tt_1,6046,"VeryBadThings, director: Peter Berg",4000,39331,532,100,481,18193415.94,18101484.61,6.3
Thriller Drama,http://www.imdb.com/title/tt2923316/?ref_=fn_tt_tt_1,9432,"AmericanHeist, director: Sarik Andreasyan",4000,12372,9,30,42,10650240,0,5.2
Comedy Drama,http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,4908,"PCU, director: Hart Bochner",4000,10476,157,15,52,18572721.53,8942907.806,6.5
Drama,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,6426,"VeronikaDecidestoDie, director: Emily Young",4000,10100,6,19,42,9585216,0,6.5
Thriller Drama,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,6954,"Awake, director: Joby Harold",4000,63216,8,133,196,11784073,19695605.01,6.5
Drama,http://www.imdb.com/title/tt0432402/?ref_=fn_tt_tt_1,6526,"FactoryGirl, director: George Hickenlooper",4000,18355,60,117,106,9898621.319,2349457.567,6.4
Drama,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,7103,"TheVirginSuicides, director: Sofia Coppola",4000,116910,0,152,520,10249580.82,8301263.627,7.2
Comedy Drama,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,5668,"SimplyIrresistible, director: Mark Tarlov",4000,11439,3,35,190,10577567.41,7755100.445,5.3
Drama,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,8297,"ShatteredGlass, director: Billy Ray",4000,28855,53,129,190,9325390.19,3431704.734,7.2
Comedy Drama,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,6776,"HarvardMan, director: James Toback",4000,3754,56,27,69,8821819.12,90869.54883,4.9
Comedy Drama,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,4883,"TheTen, director: David Wain",4000,15315,136,65,117,7193765.493,1054710.16,5
Thriller Drama,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,5245,"Made, director: Jon Favreau",4000,15053,4000,81,165,8276470.301,8787471.165,6.4
Drama,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,6617,"MinutesinHeaven, director: Michael Polish",4000,2047,35,12,29,5325120,5129306.817,4.6
Comedy,http://www.imdb.com/title/tt0113101/?ref_=fn_tt_tt_1,7921,"FourRooms, director: Allison Anders",4000,78241,99,51,177,7998588.083,8600481.836,6.7
Comedy Drama,http://www.imdb.com/title/tt0120878/?ref_=fn_tt_tt_1,5796,"TheVelocityofGary, director: Dan Ireland",4000,1555,137,19,40,7051711.605,60195.17319,5
Comedy,http://www.imdb.com/title/tt0367631/?ref_=fn_tt_tt_1,6380,"DEBS, director: Angela Robinson",4000,12188,23,50,135,5107688.6,141253.8579,5.3
Comedy Drama,http://www.imdb.com/title/tt1920849/?ref_=fn_tt_tt_1,8353,"Bachelorette, director: Leslye Headland",4000,37156,21,156,129,3511718.869,522976.8797,5.3
Comedy Drama,http://www.imdb.com/title/tt0117802/?ref_=fn_tt_tt_1,4230,"Swingers, director: Doug Liman",4000,63951,218,77,252,387528.4924,8730865.797,7.4
Adventure Action,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,8458,"JurassicWorld, director: Colin Trevorrow",3000,418214,365,644,1290,228980160,694606533.4,7
Animation,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,4705,"ShrektheThird, director: Chris Miller",3000,211971,50,227,326,219238567.4,442204113.7,6.1
Adventure Action,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,5505,"Warcraft, director: Duncan Jones",3000,111609,0,275,781,165120000,48736875.96,7.3
Drama,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,5401,"PearlHarbor, director: Michael Bay",3000,254111,0,191,1999,250777050.1,328641842.7,6.1
Mixed,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1,5810,"MrPeabodySherman, director: Rob Minkoff",3000,47900,50,196,130,159370191.4,122557248.9,6.9
